dataset,nace,indic,size_emp,geo,year,value,unit
isoc_eb_ain2,F,E_AI_TNLG,GE10,BE,2024,5.33,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,BE,2025,4.88,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,CZ,2021,0.0,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,CZ,2023,0.0,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,CZ,2024,1.14,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,CZ,2025,5.85,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,DE,2021,1.59,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,DE,2023,0.45,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,DE,2024,3.3,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,DE,2025,3.02,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,DK,2021,1.34,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,DK,2023,1.26,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,DK,2024,6.79,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,DK,2025,14.98,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,EL,2021,0.0,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,EL,2023,0.3,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,EL,2024,1.84,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,EL,2025,1.75,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,ES,2021,0.59,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,ES,2023,1.46,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,ES,2024,1.47,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,ES,2025,4.17,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,EU27_2020,2021,0.99,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,EU27_2020,2023,0.58,PC_ENT
