importer,partner,year,value,iso3,ai_M_2024,ai_F_2024,ai_M_2021,ai_F_2021,dM,dF,gap24,ai_M,ai_F,logv,ihs,post,post20,post_x_dM,post_x_dF,post_x_M24,post_x_F24,post_x_gap,fake_x_dM
FRA,IND,2024,830.096205,FRA,17.47,3.14,15.23,4.09,2.2399999999999984,-0.9499999999999997,14.329999999999998,17.47,3.14,6.721541603712195,7.414689147085204,1.0,1.0,2.2399999999999984,-0.9499999999999997,17.47,3.14,14.329999999999998,2.2399999999999984
FRA,PHL,2024,118.526884,FRA,17.47,3.14,15.23,4.09,2.2399999999999984,-0.9499999999999997,14.329999999999998,17.47,3.14,4.775139804042573,5.468304779466877,1.0,1.0,2.2399999999999984,-0.9499999999999997,17.47,3.14,14.329999999999998,2.2399999999999984
FRA,VNM,2024,43.60662,FRA,17.47,3.14,15.23,4.09,2.2399999999999984,-0.9499999999999997,14.329999999999998,17.47,3.14,3.775208973691628,4.468487600903267,1.0,1.0,2.2399999999999984,-0.9499999999999997,17.47,3.14,14.329999999999998,2.2399999999999984
NLD,IND,2024,967.242995,NLD,39.78,8.88,20.05,7.39,19.73,1.490000000000001,30.9,39.78,8.88,6.874449751372955,7.567597199152709,1.0,1.0,19.73,1.490000000000001,39.78,8.88,30.9,19.73
NLD,PHL,2024,621.063162,NLD,39.78,8.88,20.05,7.39,19.73,1.490000000000001,30.9,39.78,8.88,6.431432786906281,7.124580615605064,1.0,1.0,19.73,1.490000000000001,39.78,8.88,30.9,19.73
NLD,VNM,2024,58.29093,NLD,39.78,8.88,20.05,7.39,19.73,1.490000000000001,30.9,39.78,8.88,4.065446506639396,4.758667255396685,1.0,1.0,19.73,1.490000000000001,39.78,8.88,30.9,19.73
NLD,IND,2018,1192.016271,NLD,39.78,8.88,20.05,7.39,19.73,1.490000000000001,30.9,,,7.083401497699918,7.776548854204295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLD,PHL,2018,139.796857,NLD,39.78,8.88,20.05,7.39,19.73,1.490000000000001,30.9,,,4.940190347429673,5.633350319942781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLD,VNM,2018,17.61229,NLD,39.78,8.88,20.05,7.39,19.73,1.490000000000001,30.9,,,2.8685969538038214,3.562549112241063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLD,IND,2019,830.943368,NLD,39.78,8.88,20.05,7.39,19.73,1.490000000000001,30.9,,,6.722561643315375,7.4157091859489705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
