REF_AREA,COUNTERPART_AREA,TRADE_FLOW,SERVICE,TIME_PERIOD,OBS_VALUE,ADJUSTMENT,UNIT_MEASURE,OBS_STATUS,source_key
GBR,W,M,SI,2019,37963.749634,B,USD_EXC,I,GBR.W.M.S.SI.A.USD_EXC.B
GBR,W,M,SI,2020,39917.388831,B,USD_EXC,I,GBR.W.M.S.SI.A.USD_EXC.B
GBR,W,M,SI,2021,44700.139284,B,USD_EXC,I,GBR.W.M.S.SI.A.USD_EXC.B
GBR,W,M,SI,2022,45635.727522,B,USD_EXC,I,GBR.W.M.S.SI.A.USD_EXC.B
GBR,W,M,SI,2023,53409.326681,B,USD_EXC,I,GBR.W.M.S.SI.A.USD_EXC.B
GBR,W,M,SI,2024,54929.736325,B,USD_EXC,I,GBR.W.M.S.SI.A.USD_EXC.B
GBR,W,M,SJ1,2015,8031.793503,B,USD_EXC,I,GBR.W.M.S.SJ1.A.USD_EXC.B
GBR,W,M,SJ1,2016,8316.65705,B,USD_EXC,I,GBR.W.M.S.SJ1.A.USD_EXC.B
GBR,W,M,SJ1,2017,9701.617778,B,USD_EXC,I,GBR.W.M.S.SJ1.A.USD_EXC.B
GBR,W,M,SJ1,2018,10687.164058,B,USD_EXC,I,GBR.W.M.S.SJ1.A.USD_EXC.B
GBR,W,M,SJ1,2019,10981.984919,B,USD_EXC,I,GBR.W.M.S.SJ1.A.USD_EXC.B
GBR,W,M,SJ1,2020,15024.445284,B,USD_EXC,I,GBR.W.M.S.SJ1.A.USD_EXC.B
GBR,W,M,SJ1,2021,14001.817836,B,USD_EXC,I,GBR.W.M.S.SJ1.A.USD_EXC.B
GBR,W,M,SJ1,2022,14618.581241,B,USD_EXC,I,GBR.W.M.S.SJ1.A.USD_EXC.B
GBR,W,M,SJ1,2023,17659.760769,B,USD_EXC,I,GBR.W.M.S.SJ1.A.USD_EXC.B
GBR,W,M,SJ1,2024,18718.150208,B,USD_EXC,I,GBR.W.M.S.SJ1.A.USD_EXC.B
GBR,W,M,SJ2,2015,28375.333553,B,USD_EXC,I,GBR.W.M.S.SJ2.A.USD_EXC.B
GBR,W,M,SJ2,2016,30035.14476,B,USD_EXC,I,GBR.W.M.S.SJ2.A.USD_EXC.B
GBR,W,M,SJ2,2017,32703.552269,B,USD_EXC,I,GBR.W.M.S.SJ2.A.USD_EXC.B
GBR,W,M,SJ2,2018,39870.363496,B,USD_EXC,I,GBR.W.M.S.SJ2.A.USD_EXC.B
GBR,W,M,SJ2,2019,43383.280574,B,USD_EXC,I,GBR.W.M.S.SJ2.A.USD_EXC.B
GBR,W,M,SJ2,2020,46482.878544,B,USD_EXC,I,GBR.W.M.S.SJ2.A.USD_EXC.B
GBR,W,M,SJ2,2021,53061.290314,B,USD_EXC,I,GBR.W.M.S.SJ2.A.USD_EXC.B
GBR,W,M,SJ2,2022,52776.160337,B,USD_EXC,I,GBR.W.M.S.SJ2.A.USD_EXC.B
GBR,W,M,SJ2,2023,57761.166875,B,USD_EXC,I,GBR.W.M.S.SJ2.A.USD_EXC.B
GBR,W,M,SJ2,2024,64270.787874,B,USD_EXC,I,GBR.W.M.S.SJ2.A.USD_EXC.B
GBR,W,M,SJ3,2015,39761.805346,B,USD_EXC,I,GBR.W.M.S.SJ3.A.USD_EXC.B
GBR,W,M,SJ3,2016,43109.477931,B,USD_EXC,I,GBR.W.M.S.SJ3.A.USD_EXC.B
GBR,W,M,SJ3,2017,46789.383925,B,USD_EXC,I,GBR.W.M.S.SJ3.A.USD_EXC.B
GBR,W,M,SJ3,2018,53900.943823,B,USD_EXC,I,GBR.W.M.S.SJ3.A.USD_EXC.B
GBR,W,M,SJ3,2019,52349.608883,B,USD_EXC,I,GBR.W.M.S.SJ3.A.USD_EXC.B
GBR,W,M,SJ3,2020,54388.645937,B,USD_EXC,I,GBR.W.M.S.SJ3.A.USD_EXC.B
GBR,W,M,SJ3,2021,58087.06176,B,USD_EXC,I,GBR.W.M.S.SJ3.A.USD_EXC.B
GBR,W,M,SJ3,2022,61965.612978,B,USD_EXC,I,GBR.W.M.S.SJ3.A.USD_EXC.B
GBR,W,M,SJ3,2023,64602.857588,B,USD_EXC,I,GBR.W.M.S.SJ3.A.USD_EXC.B
GBR,W,M,SJ3,2024,72031.008185,B,USD_EXC,I,GBR.W.M.S.SJ3.A.USD_EXC.B
IND,GBR,M,SE,2015,58.934042,B,USD_EXC,I,IND.GBR.M.S.SE.A.USD_EXC.B
IND,GBR,M,SE,2016,47.837231,B,USD_EXC,I,IND.GBR.M.S.SE.A.USD_EXC.B
IND,GBR,M,SE,2017,28.510879,B,USD_EXC,I,IND.GBR.M.S.SE.A.USD_EXC.B
IND,GBR,M,SE,2018,39.734411,B,USD_EXC,I,IND.GBR.M.S.SE.A.USD_EXC.B
IND,GBR,M,SE,2019,39.300114,B,USD_EXC,I,IND.GBR.M.S.SE.A.USD_EXC.B
IND,GBR,M,SE,2020,55.993918,B,USD_EXC,I,IND.GBR.M.S.SE.A.USD_EXC.B
IND,GBR,M,SE,2021,39.782409,B,USD_EXC,I,IND.GBR.M.S.SE.A.USD_EXC.B
IND,GBR,M,SE,2022,78.115238,B,USD_EXC,I,IND.GBR.M.S.SE.A.USD_EXC.B
IND,GBR,M,SE,2023,68.218901,B,USD_EXC,I,IND.GBR.M.S.SE.A.USD_EXC.B
IND,GBR,M,SE,2024,72.613044,B,USD_EXC,I,IND.GBR.M.S.SE.A.USD_EXC.B
IND,GBR,M,SI,2015,529.746304,B,USD_EXC,I,IND.GBR.M.S.SI.A.USD_EXC.B
IND,GBR,M,SI,2016,407.827346,B,USD_EXC,I,IND.GBR.M.S.SI.A.USD_EXC.B
IND,GBR,M,SI,2017,305.111373,B,USD_EXC,I,IND.GBR.M.S.SI.A.USD_EXC.B
