dataset,nace,nace_label,indic,indic_label,geo,year,value
sbs_sc_ovw,M712,Technical testing and analysis,EMP_NR,Persons employed - number,PT,2023,6811.0
sbs_sc_ovw,M712,Technical testing and analysis,EMP_NR,Persons employed - number,PT,2024,7001.0
sbs_sc_ovw,M712,Technical testing and analysis,EMP_NR,Persons employed - number,RO,2021,16553.0
sbs_sc_ovw,M712,Technical testing and analysis,EMP_NR,Persons employed - number,RO,2022,17147.0
sbs_sc_ovw,M712,Technical testing and analysis,EMP_NR,Persons employed - number,RO,2023,18694.0
sbs_sc_ovw,M712,Technical testing and analysis,EMP_NR,Persons employed - number,RO,2024,18322.0
sbs_sc_ovw,M712,Technical testing and analysis,EMP_NR,Persons employed - number,SE,2021,8893.0
sbs_sc_ovw,M712,Technical testing and analysis,EMP_NR,Persons employed - number,SE,2022,8154.0
sbs_sc_ovw,M712,Technical testing and analysis,EMP_NR,Persons employed - number,SE,2023,9154.0
sbs_sc_ovw,M712,Technical testing and analysis,EMP_NR,Persons employed - number,SE,2024,9314.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,AT,2021,1135.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,AT,2022,1098.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,AT,2023,1050.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,AT,2024,1028.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,BE,2021,1391.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,BE,2022,1479.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,BE,2023,1453.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,BE,2024,1713.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,CZ,2021,3900.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,CZ,2022,4047.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,CZ,2023,4405.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,CZ,2024,4758.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,DE,2021,7394.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,DE,2022,7438.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,DE,2023,7542.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,DE,2024,7829.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,DK,2021,458.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,DK,2022,464.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,DK,2023,467.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,DK,2024,464.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,EL,2021,1154.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,EL,2022,1191.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,EL,2023,1186.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,EL,2024,1185.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,ES,2021,13886.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,ES,2022,14570.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,ES,2023,15116.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,ES,2024,16280.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,EU27_2020,2021,78946.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,EU27_2020,2022,82356.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,EU27_2020,2023,83842.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,FI,2021,767.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,FI,2022,769.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,FI,2023,758.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,FI,2024,755.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,FR,2021,12837.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,FR,2022,13468.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,FR,2023,14303.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,FR,2024,15040.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,HU,2021,3299.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,HU,2022,3368.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,HU,2023,3104.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,HU,2024,3045.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,IE,2021,420.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,IE,2022,437.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,IE,2023,447.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,IE,2024,468.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,IT,2021,8166.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,IT,2022,8248.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,IT,2023,8204.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,IT,2024,8084.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,NL,2021,2298.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,NL,2022,2439.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,NL,2023,2521.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,NL,2024,2749.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,PL,2021,5971.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,PL,2022,5922.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,PL,2023,6451.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,PL,2024,6723.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,PT,2021,828.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,PT,2022,855.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,PT,2023,829.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,PT,2024,864.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,RO,2021,2819.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,RO,2022,2910.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,RO,2023,3135.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,RO,2024,3264.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,SE,2021,1017.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,SE,2022,984.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,SE,2023,1040.0
sbs_sc_ovw,M712,Technical testing and analysis,ENT_NR,Enterprises - number,SE,2024,1114.0
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,AT,2021,108.55
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,AT,2022,115.76
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,AT,2023,122.8
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,AT,2024,123.09
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,BE,2021,316.23
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,BE,2022,326.33
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,BE,2023,340.41
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,BE,2024,366.43
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,CZ,2021,175.36
