dataset,bop_item,stk_flow,partner,geo,year,currency,value
bop_its6_det,SJ312,CRE,US,HU,2015,MIO_EUR,16.2
bop_its6_det,SJ312,CRE,US,HU,2016,MIO_EUR,24.2
bop_its6_det,SJ312,CRE,US,HU,2017,MIO_EUR,15.7
bop_its6_det,SJ312,CRE,US,HU,2018,MIO_EUR,11.8
bop_its6_det,SJ312,CRE,US,HU,2020,MIO_EUR,22.1
bop_its6_det,SJ312,CRE,US,HU,2021,MIO_EUR,17.3
bop_its6_det,SJ312,CRE,US,HU,2022,MIO_EUR,26.9
bop_its6_det,SJ312,CRE,US,HU,2023,MIO_EUR,42.4
bop_its6_det,SJ312,CRE,US,HU,2024,MIO_EUR,34.9
bop_its6_det,SJ312,CRE,US,IE,2015,MIO_EUR,27.0
bop_its6_det,SJ312,CRE,US,IE,2016,MIO_EUR,3.0
bop_its6_det,SJ312,CRE,US,IE,2017,MIO_EUR,14.0
bop_its6_det,SJ312,CRE,US,IE,2018,MIO_EUR,2.0
bop_its6_det,SJ312,CRE,US,IE,2019,MIO_EUR,3.0
bop_its6_det,SJ312,CRE,US,IE,2020,MIO_EUR,33.0
bop_its6_det,SJ312,CRE,US,IE,2021,MIO_EUR,32.0
bop_its6_det,SJ312,CRE,US,IE,2022,MIO_EUR,115.0
bop_its6_det,SJ312,CRE,US,IE,2023,MIO_EUR,68.0
bop_its6_det,SJ312,CRE,US,IE,2024,MIO_EUR,39.0
bop_its6_det,SJ312,CRE,US,IT,2015,MIO_EUR,36.5
bop_its6_det,SJ312,CRE,US,IT,2016,MIO_EUR,142.5
bop_its6_det,SJ312,CRE,US,IT,2017,MIO_EUR,75.6
bop_its6_det,SJ312,CRE,US,IT,2018,MIO_EUR,71.3
bop_its6_det,SJ312,CRE,US,IT,2019,MIO_EUR,106.6
bop_its6_det,SJ312,CRE,US,IT,2020,MIO_EUR,26.7
bop_its6_det,SJ312,CRE,US,IT,2021,MIO_EUR,63.0
bop_its6_det,SJ312,CRE,US,IT,2022,MIO_EUR,74.5
bop_its6_det,SJ312,CRE,US,IT,2023,MIO_EUR,58.9
bop_its6_det,SJ312,CRE,US,IT,2024,MIO_EUR,43.9
bop_its6_det,SJ312,CRE,US,NL,2015,MIO_EUR,53.6
bop_its6_det,SJ312,CRE,US,NL,2017,MIO_EUR,46.4
bop_its6_det,SJ312,CRE,US,NL,2018,MIO_EUR,55.5
bop_its6_det,SJ312,CRE,US,NL,2019,MIO_EUR,76.0
bop_its6_det,SJ312,CRE,US,NL,2021,MIO_EUR,62.0
bop_its6_det,SJ312,CRE,US,NL,2022,MIO_EUR,78.3
bop_its6_det,SJ312,CRE,US,NL,2023,MIO_EUR,84.8
bop_its6_det,SJ312,CRE,US,NL,2024,MIO_EUR,121.7
bop_its6_det,SJ312,CRE,US,PL,2015,MIO_EUR,147.5
bop_its6_det,SJ312,CRE,US,PL,2016,MIO_EUR,156.8
bop_its6_det,SJ312,CRE,US,PL,2017,MIO_EUR,162.1
bop_its6_det,SJ312,CRE,US,PL,2018,MIO_EUR,179.7
bop_its6_det,SJ312,CRE,US,PL,2019,MIO_EUR,191.7
bop_its6_det,SJ312,CRE,US,PL,2020,MIO_EUR,302.0
bop_its6_det,SJ312,CRE,US,PL,2021,MIO_EUR,364.5
bop_its6_det,SJ312,CRE,US,PL,2022,MIO_EUR,445.6
bop_its6_det,SJ312,CRE,US,PL,2023,MIO_EUR,536.1
bop_its6_det,SJ312,CRE,US,PL,2024,MIO_EUR,516.0
bop_its6_det,SJ312,CRE,US,PT,2015,MIO_EUR,27.0
bop_its6_det,SJ312,CRE,US,PT,2016,MIO_EUR,25.0
bop_its6_det,SJ312,CRE,US,PT,2017,MIO_EUR,28.0
bop_its6_det,SJ312,CRE,US,PT,2018,MIO_EUR,23.0
bop_its6_det,SJ312,CRE,US,PT,2019,MIO_EUR,31.0
bop_its6_det,SJ312,CRE,US,PT,2020,MIO_EUR,37.0
bop_its6_det,SJ312,CRE,US,PT,2021,MIO_EUR,45.0
bop_its6_det,SJ312,CRE,US,PT,2022,MIO_EUR,59.0
bop_its6_det,SJ312,CRE,US,PT,2023,MIO_EUR,77.0
bop_its6_det,SJ312,CRE,US,PT,2024,MIO_EUR,84.0
bop_its6_det,SJ312,CRE,US,RO,2015,MIO_EUR,17.1
bop_its6_det,SJ312,CRE,US,RO,2017,MIO_EUR,23.6
bop_its6_det,SJ312,CRE,US,RO,2019,MIO_EUR,28.2
bop_its6_det,SJ312,CRE,US,RO,2022,MIO_EUR,30.8
bop_its6_det,SJ312,CRE,US,SE,2015,MIO_EUR,170.5
bop_its6_det,SJ312,CRE,US,SE,2016,MIO_EUR,167.0
bop_its6_det,SJ312,CRE,US,SE,2017,MIO_EUR,117.2
bop_its6_det,SJ312,CRE,US,SE,2018,MIO_EUR,112.5
bop_its6_det,SJ312,CRE,US,SE,2019,MIO_EUR,115.7
bop_its6_det,SJ312,CRE,US,SE,2020,MIO_EUR,81.7
bop_its6_det,SJ312,CRE,US,SE,2021,MIO_EUR,79.6
bop_its6_det,SJ312,CRE,US,SE,2022,MIO_EUR,101.7
bop_its6_det,SJ312,CRE,US,SE,2023,MIO_EUR,119.4
bop_its6_det,SJ312,CRE,US,SE,2024,MIO_EUR,150.4
bop_its6_det,SJ312,DEB,UK,AT,2015,MIO_EUR,38.0
bop_its6_det,SJ312,DEB,UK,AT,2016,MIO_EUR,39.0
