dataset,isco08,isco08_label,geo,year,unit,age,sex,value
lfsa_egai2d,OC21,Science and engineering professionals,FI,2021,THS_PER,Y15-64,T,159.8
lfsa_egai2d,OC21,Science and engineering professionals,FI,2022,THS_PER,Y15-64,T,165.9
lfsa_egai2d,OC21,Science and engineering professionals,FI,2023,THS_PER,Y15-64,T,160.4
lfsa_egai2d,OC21,Science and engineering professionals,FI,2024,THS_PER,Y15-64,T,147.4
lfsa_egai2d,OC21,Science and engineering professionals,FI,2025,THS_PER,Y15-64,T,159.1
lfsa_egai2d,OC21,Science and engineering professionals,FR,2015,THS_PER,Y15-64,T,681.3
lfsa_egai2d,OC21,Science and engineering professionals,FR,2016,THS_PER,Y15-64,T,706.5
lfsa_egai2d,OC21,Science and engineering professionals,FR,2017,THS_PER,Y15-64,T,711.9
lfsa_egai2d,OC21,Science and engineering professionals,FR,2018,THS_PER,Y15-64,T,752.4
lfsa_egai2d,OC21,Science and engineering professionals,FR,2019,THS_PER,Y15-64,T,775.6
lfsa_egai2d,OC21,Science and engineering professionals,FR,2020,THS_PER,Y15-64,T,866.4
lfsa_egai2d,OC21,Science and engineering professionals,FR,2021,THS_PER,Y15-64,T,1015.4
lfsa_egai2d,OC21,Science and engineering professionals,FR,2022,THS_PER,Y15-64,T,1091.0
lfsa_egai2d,OC21,Science and engineering professionals,FR,2023,THS_PER,Y15-64,T,1201.0
lfsa_egai2d,OC21,Science and engineering professionals,FR,2024,THS_PER,Y15-64,T,1257.6
lfsa_egai2d,OC21,Science and engineering professionals,FR,2025,THS_PER,Y15-64,T,1363.9
lfsa_egai2d,OC21,Science and engineering professionals,HU,2015,THS_PER,Y15-64,T,121.9
lfsa_egai2d,OC21,Science and engineering professionals,HU,2016,THS_PER,Y15-64,T,126.3
lfsa_egai2d,OC21,Science and engineering professionals,HU,2017,THS_PER,Y15-64,T,141.0
lfsa_egai2d,OC21,Science and engineering professionals,HU,2018,THS_PER,Y15-64,T,136.8
lfsa_egai2d,OC21,Science and engineering professionals,HU,2019,THS_PER,Y15-64,T,148.9
lfsa_egai2d,OC21,Science and engineering professionals,HU,2020,THS_PER,Y15-64,T,180.9
lfsa_egai2d,OC21,Science and engineering professionals,HU,2021,THS_PER,Y15-64,T,173.0
lfsa_egai2d,OC21,Science and engineering professionals,HU,2022,THS_PER,Y15-64,T,169.2
lfsa_egai2d,OC21,Science and engineering professionals,HU,2023,THS_PER,Y15-64,T,147.2
lfsa_egai2d,OC21,Science and engineering professionals,HU,2024,THS_PER,Y15-64,T,163.1
lfsa_egai2d,OC21,Science and engineering professionals,HU,2025,THS_PER,Y15-64,T,156.4
lfsa_egai2d,OC21,Science and engineering professionals,IE,2015,THS_PER,Y15-64,T,66.4
lfsa_egai2d,OC21,Science and engineering professionals,IE,2016,THS_PER,Y15-64,T,69.0
lfsa_egai2d,OC21,Science and engineering professionals,IE,2017,THS_PER,Y15-64,T,76.7
lfsa_egai2d,OC21,Science and engineering professionals,IE,2018,THS_PER,Y15-64,T,81.7
lfsa_egai2d,OC21,Science and engineering professionals,IE,2019,THS_PER,Y15-64,T,84.3
lfsa_egai2d,OC21,Science and engineering professionals,IE,2020,THS_PER,Y15-64,T,92.6
lfsa_egai2d,OC21,Science and engineering professionals,IE,2021,THS_PER,Y15-64,T,102.0
lfsa_egai2d,OC21,Science and engineering professionals,IE,2022,THS_PER,Y15-64,T,107.8
lfsa_egai2d,OC21,Science and engineering professionals,IE,2023,THS_PER,Y15-64,T,107.4
lfsa_egai2d,OC21,Science and engineering professionals,IE,2024,THS_PER,Y15-64,T,114.3
lfsa_egai2d,OC21,Science and engineering professionals,IE,2025,THS_PER,Y15-64,T,131.5
lfsa_egai2d,OC21,Science and engineering professionals,IT,2015,THS_PER,Y15-64,T,498.2
lfsa_egai2d,OC21,Science and engineering professionals,IT,2016,THS_PER,Y15-64,T,502.3
lfsa_egai2d,OC21,Science and engineering professionals,IT,2017,THS_PER,Y15-64,T,486.9
lfsa_egai2d,OC21,Science and engineering professionals,IT,2018,THS_PER,Y15-64,T,495.8
lfsa_egai2d,OC21,Science and engineering professionals,IT,2019,THS_PER,Y15-64,T,514.9
lfsa_egai2d,OC21,Science and engineering professionals,IT,2020,THS_PER,Y15-64,T,517.9
lfsa_egai2d,OC21,Science and engineering professionals,IT,2021,THS_PER,Y15-64,T,527.2
lfsa_egai2d,OC21,Science and engineering professionals,IT,2022,THS_PER,Y15-64,T,547.0
lfsa_egai2d,OC21,Science and engineering professionals,IT,2023,THS_PER,Y15-64,T,608.3
lfsa_egai2d,OC21,Science and engineering professionals,IT,2024,THS_PER,Y15-64,T,639.0
lfsa_egai2d,OC21,Science and engineering professionals,IT,2025,THS_PER,Y15-64,T,634.4
lfsa_egai2d,OC21,Science and engineering professionals,NL,2015,THS_PER,Y15-64,T,223.6
lfsa_egai2d,OC21,Science and engineering professionals,NL,2016,THS_PER,Y15-64,T,221.1
lfsa_egai2d,OC21,Science and engineering professionals,NL,2017,THS_PER,Y15-64,T,226.6
lfsa_egai2d,OC21,Science and engineering professionals,NL,2018,THS_PER,Y15-64,T,250.7
lfsa_egai2d,OC21,Science and engineering professionals,NL,2019,THS_PER,Y15-64,T,269.6
lfsa_egai2d,OC21,Science and engineering professionals,NL,2020,THS_PER,Y15-64,T,277.4
lfsa_egai2d,OC21,Science and engineering professionals,NL,2021,THS_PER,Y15-64,T,333.4
lfsa_egai2d,OC21,Science and engineering professionals,NL,2022,THS_PER,Y15-64,T,357.8
lfsa_egai2d,OC21,Science and engineering professionals,NL,2023,THS_PER,Y15-64,T,361.2
lfsa_egai2d,OC21,Science and engineering professionals,NL,2024,THS_PER,Y15-64,T,391.8
lfsa_egai2d,OC21,Science and engineering professionals,NL,2025,THS_PER,Y15-64,T,413.0
lfsa_egai2d,OC21,Science and engineering professionals,PL,2015,THS_PER,Y15-64,T,418.2
lfsa_egai2d,OC21,Science and engineering professionals,PL,2016,THS_PER,Y15-64,T,417.1
lfsa_egai2d,OC21,Science and engineering professionals,PL,2017,THS_PER,Y15-64,T,468.5
lfsa_egai2d,OC21,Science and engineering professionals,PL,2018,THS_PER,Y15-64,T,485.6
lfsa_egai2d,OC21,Science and engineering professionals,PL,2019,THS_PER,Y15-64,T,501.6
lfsa_egai2d,OC21,Science and engineering professionals,PL,2020,THS_PER,Y15-64,T,495.9
lfsa_egai2d,OC21,Science and engineering professionals,PL,2021,THS_PER,Y15-64,T,521.7
lfsa_egai2d,OC21,Science and engineering professionals,PL,2022,THS_PER,Y15-64,T,521.2
lfsa_egai2d,OC21,Science and engineering professionals,PL,2023,THS_PER,Y15-64,T,572.7
lfsa_egai2d,OC21,Science and engineering professionals,PL,2024,THS_PER,Y15-64,T,559.3
lfsa_egai2d,OC21,Science and engineering professionals,PL,2025,THS_PER,Y15-64,T,582.0
lfsa_egai2d,OC21,Science and engineering professionals,PT,2015,THS_PER,Y15-64,T,138.2
lfsa_egai2d,OC21,Science and engineering professionals,PT,2016,THS_PER,Y15-64,T,129.7
lfsa_egai2d,OC21,Science and engineering professionals,PT,2017,THS_PER,Y15-64,T,140.7
lfsa_egai2d,OC21,Science and engineering professionals,PT,2018,THS_PER,Y15-64,T,163.1
lfsa_egai2d,OC21,Science and engineering professionals,PT,2019,THS_PER,Y15-64,T,171.1
lfsa_egai2d,OC21,Science and engineering professionals,PT,2020,THS_PER,Y15-64,T,166.5
lfsa_egai2d,OC21,Science and engineering professionals,PT,2021,THS_PER,Y15-64,T,156.4
lfsa_egai2d,OC21,Science and engineering professionals,PT,2022,THS_PER,Y15-64,T,173.4
lfsa_egai2d,OC21,Science and engineering professionals,PT,2023,THS_PER,Y15-64,T,182.5
lfsa_egai2d,OC21,Science and engineering professionals,PT,2024,THS_PER,Y15-64,T,190.8
lfsa_egai2d,OC21,Science and engineering professionals,PT,2025,THS_PER,Y15-64,T,200.8
lfsa_egai2d,OC21,Science and engineering professionals,RO,2015,THS_PER,Y15-64,T,284.6
lfsa_egai2d,OC21,Science and engineering professionals,RO,2016,THS_PER,Y15-64,T,296.0
lfsa_egai2d,OC21,Science and engineering professionals,RO,2017,THS_PER,Y15-64,T,292.8
lfsa_egai2d,OC21,Science and engineering professionals,RO,2018,THS_PER,Y15-64,T,293.1
lfsa_egai2d,OC21,Science and engineering professionals,RO,2019,THS_PER,Y15-64,T,296.1
lfsa_egai2d,OC21,Science and engineering professionals,RO,2020,THS_PER,Y15-64,T,276.4
lfsa_egai2d,OC21,Science and engineering professionals,RO,2021,THS_PER,Y15-64,T,274.0
lfsa_egai2d,OC21,Science and engineering professionals,RO,2022,THS_PER,Y15-64,T,293.5
lfsa_egai2d,OC21,Science and engineering professionals,RO,2023,THS_PER,Y15-64,T,264.4
lfsa_egai2d,OC21,Science and engineering professionals,RO,2024,THS_PER,Y15-64,T,274.7
lfsa_egai2d,OC21,Science and engineering professionals,RO,2025,THS_PER,Y15-64,T,274.5
lfsa_egai2d,OC21,Science and engineering professionals,SE,2015,THS_PER,Y15-64,T,162.2
lfsa_egai2d,OC21,Science and engineering professionals,SE,2016,THS_PER,Y15-64,T,168.8
lfsa_egai2d,OC21,Science and engineering professionals,SE,2017,THS_PER,Y15-64,T,172.8
lfsa_egai2d,OC21,Science and engineering professionals,SE,2018,THS_PER,Y15-64,T,180.4
lfsa_egai2d,OC21,Science and engineering professionals,SE,2019,THS_PER,Y15-64,T,189.9
lfsa_egai2d,OC21,Science and engineering professionals,SE,2020,THS_PER,Y15-64,T,191.3
lfsa_egai2d,OC21,Science and engineering professionals,SE,2021,THS_PER,Y15-64,T,204.1
lfsa_egai2d,OC21,Science and engineering professionals,SE,2022,THS_PER,Y15-64,T,208.5
lfsa_egai2d,OC21,Science and engineering professionals,SE,2023,THS_PER,Y15-64,T,200.9
lfsa_egai2d,OC21,Science and engineering professionals,SE,2024,THS_PER,Y15-64,T,203.6
lfsa_egai2d,OC21,Science and engineering professionals,SE,2025,THS_PER,Y15-64,T,209.3
lfsa_egai2d,OC21,Science and engineering professionals,UK,2015,THS_PER,Y15-64,T,1134.2
lfsa_egai2d,OC21,Science and engineering professionals,UK,2016,THS_PER,Y15-64,T,1178.6
lfsa_egai2d,OC21,Science and engineering professionals,UK,2017,THS_PER,Y15-64,T,1180.0
lfsa_egai2d,OC21,Science and engineering professionals,UK,2018,THS_PER,Y15-64,T,1241.5
lfsa_egai2d,OC21,Science and engineering professionals,UK,2019,THS_PER,Y15-64,T,1263.9
lfsa_egai2d,OC31,Science and engineering associate professionals,AT,2015,THS_PER,Y15-64,T,203.5
lfsa_egai2d,OC31,Science and engineering associate professionals,AT,2016,THS_PER,Y15-64,T,203.0
lfsa_egai2d,OC31,Science and engineering associate professionals,AT,2017,THS_PER,Y15-64,T,200.9
lfsa_egai2d,OC31,Science and engineering associate professionals,AT,2018,THS_PER,Y15-64,T,202.4
lfsa_egai2d,OC31,Science and engineering associate professionals,AT,2019,THS_PER,Y15-64,T,210.2
lfsa_egai2d,OC31,Science and engineering associate professionals,AT,2020,THS_PER,Y15-64,T,215.7
lfsa_egai2d,OC31,Science and engineering associate professionals,AT,2021,THS_PER,Y15-64,T,217.4
lfsa_egai2d,OC31,Science and engineering associate professionals,AT,2022,THS_PER,Y15-64,T,215.6
lfsa_egai2d,OC31,Science and engineering associate professionals,AT,2023,THS_PER,Y15-64,T,220.0
lfsa_egai2d,OC31,Science and engineering associate professionals,AT,2024,THS_PER,Y15-64,T,222.7
lfsa_egai2d,OC31,Science and engineering associate professionals,AT,2025,THS_PER,Y15-64,T,219.4
lfsa_egai2d,OC31,Science and engineering associate professionals,BE,2015,THS_PER,Y15-64,T,153.2
lfsa_egai2d,OC31,Science and engineering associate professionals,BE,2016,THS_PER,Y15-64,T,154.0
lfsa_egai2d,OC31,Science and engineering associate professionals,BE,2017,THS_PER,Y15-64,T,155.6
lfsa_egai2d,OC31,Science and engineering associate professionals,BE,2018,THS_PER,Y15-64,T,155.5
lfsa_egai2d,OC31,Science and engineering associate professionals,BE,2019,THS_PER,Y15-64,T,158.0
lfsa_egai2d,OC31,Science and engineering associate professionals,BE,2020,THS_PER,Y15-64,T,161.4
lfsa_egai2d,OC31,Science and engineering associate professionals,BE,2021,THS_PER,Y15-64,T,161.6
lfsa_egai2d,OC31,Science and engineering associate professionals,BE,2022,THS_PER,Y15-64,T,150.9
lfsa_egai2d,OC31,Science and engineering associate professionals,BE,2023,THS_PER,Y15-64,T,155.9
lfsa_egai2d,OC31,Science and engineering associate professionals,BE,2024,THS_PER,Y15-64,T,159.5
lfsa_egai2d,OC31,Science and engineering associate professionals,BE,2025,THS_PER,Y15-64,T,177.3
lfsa_egai2d,OC31,Science and engineering associate professionals,CZ,2015,THS_PER,Y15-64,T,276.0
lfsa_egai2d,OC31,Science and engineering associate professionals,CZ,2016,THS_PER,Y15-64,T,277.0
lfsa_egai2d,OC31,Science and engineering associate professionals,CZ,2017,THS_PER,Y15-64,T,288.3
lfsa_egai2d,OC31,Science and engineering associate professionals,CZ,2018,THS_PER,Y15-64,T,282.7
lfsa_egai2d,OC31,Science and engineering associate professionals,CZ,2019,THS_PER,Y15-64,T,274.0
lfsa_egai2d,OC31,Science and engineering associate professionals,CZ,2020,THS_PER,Y15-64,T,268.2
lfsa_egai2d,OC31,Science and engineering associate professionals,CZ,2021,THS_PER,Y15-64,T,257.7
lfsa_egai2d,OC31,Science and engineering associate professionals,CZ,2022,THS_PER,Y15-64,T,246.4
lfsa_egai2d,OC31,Science and engineering associate professionals,CZ,2023,THS_PER,Y15-64,T,231.6
lfsa_egai2d,OC31,Science and engineering associate professionals,CZ,2024,THS_PER,Y15-64,T,233.7
lfsa_egai2d,OC31,Science and engineering associate professionals,CZ,2025,THS_PER,Y15-64,T,241.5
lfsa_egai2d,OC31,Science and engineering associate professionals,DE,2015,THS_PER,Y15-64,T,2002.7
lfsa_egai2d,OC31,Science and engineering associate professionals,DE,2016,THS_PER,Y15-64,T,1993.1
lfsa_egai2d,OC31,Science and engineering associate professionals,DE,2017,THS_PER,Y15-64,T,1988.6
lfsa_egai2d,OC31,Science and engineering associate professionals,DE,2018,THS_PER,Y15-64,T,1966.8
lfsa_egai2d,OC31,Science and engineering associate professionals,DE,2019,THS_PER,Y15-64,T,2024.0
lfsa_egai2d,OC31,Science and engineering associate professionals,DE,2020,THS_PER,Y15-64,T,1763.0
lfsa_egai2d,OC31,Science and engineering associate professionals,DE,2021,THS_PER,Y15-64,T,1746.8
lfsa_egai2d,OC31,Science and engineering associate professionals,DE,2022,THS_PER,Y15-64,T,1754.6
lfsa_egai2d,OC31,Science and engineering associate professionals,DE,2023,THS_PER,Y15-64,T,1729.1
lfsa_egai2d,OC31,Science and engineering associate professionals,DE,2024,THS_PER,Y15-64,T,1735.9
lfsa_egai2d,OC31,Science and engineering associate professionals,DE,2025,THS_PER,Y15-64,T,1663.4
lfsa_egai2d,OC31,Science and engineering associate professionals,DK,2015,THS_PER,Y15-64,T,114.5
lfsa_egai2d,OC31,Science and engineering associate professionals,DK,2016,THS_PER,Y15-64,T,108.9
lfsa_egai2d,OC31,Science and engineering associate professionals,DK,2017,THS_PER,Y15-64,T,113.0
lfsa_egai2d,OC31,Science and engineering associate professionals,DK,2018,THS_PER,Y15-64,T,125.3
lfsa_egai2d,OC31,Science and engineering associate professionals,DK,2019,THS_PER,Y15-64,T,132.7
lfsa_egai2d,OC31,Science and engineering associate professionals,DK,2020,THS_PER,Y15-64,T,129.4
lfsa_egai2d,OC31,Science and engineering associate professionals,DK,2021,THS_PER,Y15-64,T,132.6
lfsa_egai2d,OC31,Science and engineering associate professionals,DK,2022,THS_PER,Y15-64,T,134.6
lfsa_egai2d,OC31,Science and engineering associate professionals,DK,2023,THS_PER,Y15-64,T,138.8
lfsa_egai2d,OC31,Science and engineering associate professionals,DK,2024,THS_PER,Y15-64,T,131.1
lfsa_egai2d,OC31,Science and engineering associate professionals,DK,2025,THS_PER,Y15-64,T,136.0
lfsa_egai2d,OC31,Science and engineering associate professionals,EL,2015,THS_PER,Y15-64,T,54.8
lfsa_egai2d,OC31,Science and engineering associate professionals,EL,2016,THS_PER,Y15-64,T,49.9
lfsa_egai2d,OC31,Science and engineering associate professionals,EL,2017,THS_PER,Y15-64,T,42.6
lfsa_egai2d,OC31,Science and engineering associate professionals,EL,2018,THS_PER,Y15-64,T,44.6
lfsa_egai2d,OC31,Science and engineering associate professionals,EL,2019,THS_PER,Y15-64,T,50.3
lfsa_egai2d,OC31,Science and engineering associate professionals,EL,2020,THS_PER,Y15-64,T,59.9
lfsa_egai2d,OC31,Science and engineering associate professionals,EL,2021,THS_PER,Y15-64,T,65.3
lfsa_egai2d,OC31,Science and engineering associate professionals,EL,2022,THS_PER,Y15-64,T,67.5
lfsa_egai2d,OC31,Science and engineering associate professionals,EL,2023,THS_PER,Y15-64,T,72.5
lfsa_egai2d,OC31,Science and engineering associate professionals,EL,2024,THS_PER,Y15-64,T,61.2
lfsa_egai2d,OC31,Science and engineering associate professionals,EL,2025,THS_PER,Y15-64,T,52.7
lfsa_egai2d,OC31,Science and engineering associate professionals,ES,2015,THS_PER,Y15-64,T,353.9
lfsa_egai2d,OC31,Science and engineering associate professionals,ES,2016,THS_PER,Y15-64,T,363.3
lfsa_egai2d,OC31,Science and engineering associate professionals,ES,2017,THS_PER,Y15-64,T,407.2
lfsa_egai2d,OC31,Science and engineering associate professionals,ES,2018,THS_PER,Y15-64,T,414.7
lfsa_egai2d,OC31,Science and engineering associate professionals,ES,2019,THS_PER,Y15-64,T,429.0
lfsa_egai2d,OC31,Science and engineering associate professionals,ES,2020,THS_PER,Y15-64,T,457.4
lfsa_egai2d,OC31,Science and engineering associate professionals,ES,2021,THS_PER,Y15-64,T,452.5
lfsa_egai2d,OC31,Science and engineering associate professionals,ES,2022,THS_PER,Y15-64,T,463.0
lfsa_egai2d,OC31,Science and engineering associate professionals,ES,2023,THS_PER,Y15-64,T,464.4
lfsa_egai2d,OC31,Science and engineering associate professionals,ES,2024,THS_PER,Y15-64,T,504.5
